Date	Item	# of 1	# of 2	# of 3	# of 4	# of 5
2009-01-02	Friday	MjAwOTAzMDYwMDI5ODc=	2	1	1	0	0
2009-01-09	Friday	MjAwOTAzMDYwMDI5ODc=	0	1	4	2	2
2009-01-16	Friday	MjAwOTAzMDYwMDI5ODc=	4	2	1	1	2
2009-01-23	Friday	MjAwOTAzMDYwMDI5ODc=	1	2	1	6	1
2009-01-30	Friday	MjAwOTAzMDYwMDI5ODc=	0	1	4	1	2
2009-02-06	Friday	MjAwOTAzMDYwMDI5ODc=	1	0	1	1	1
2009-02-13	Friday	MjAwOTAzMDYwMDI5ODc=	2	2	5	3	2
2009-02-20	Friday	MjAwOTAzMDYwMDI5ODc=	2	2	1	2	5
2009-02-27	Friday	MjAwOTAzMDYwMDI5ODc=	3	0	2	2	1
2009-03-06	Friday	MjAwOTAzMDYwMDI5ODc=	3	3	1	3	3
2009-03-13	Friday	MjAwOTAzMDYwMDI5ODc=	1	0	0	2	0
2009-03-20	Friday	MjAwOTAzMDYwMDI5ODc=	3	1	0	3	4
2009-03-27	Friday	MjAwOTAzMDYwMDI5ODc=	3	5	5	2	2
2009-04-03	Friday	MjAwOTAzMDYwMDI5ODc=	1	1	3	1	1
2009-04-10	Friday	MjAwOTAzMDYwMDI5ODc=	1	0	1	0	0
2009-04-17	Friday	MjAwOTAzMDYwMDI5ODc=	2	2	0	1	2
2009-04-24	Friday	MjAwOTAzMDYwMDI5ODc=	2	2	3	0	4
2009-05-01	Friday	MjAwOTAzMDYwMDI5ODc=	0	2	3	3	2
2009-05-08	Friday	MjAwOTAzMDYwMDI5ODc=	2	1	4	2	4
2009-05-15	Friday	MjAwOTAzMDYwMDI5ODc=	3	3	3	1	2
2009-05-22	Friday	MjAwOTAzMDYwMDI5ODc=	4	2	8	2	0
2009-05-29	Friday	MjAwOTAzMDYwMDI5ODc=	2	2	1	0	1
2009-06-05	Friday	MjAwOTAzMDYwMDI5ODc=	1	2	2	4	2
2009-06-12	Friday	MjAwOTAzMDYwMDI5ODc=	1	1	1	0	2
2009-06-19	Friday	MjAwOTAzMDYwMDI5ODc=	4	0	2	4	1
2009-06-26	Friday	MjAwOTAzMDYwMDI5ODc=	2	3	3	2	3
2009-07-03	Friday	MjAwOTAzMDYwMDI5ODc=	0	4	0	2	1
2009-07-10	Friday	MjAwOTAzMDYwMDI5ODc=	2	3	4	3	2
2009-07-17	Friday	MjAwOTAzMDYwMDI5ODc=	0	2	3	0	1
2009-07-24	Friday	MjAwOTAzMDYwMDI5ODc=	5	1	1	3	1
2009-07-31	Friday	MjAwOTAzMDYwMDI5ODc=	4	1	4	1	4
2009-08-07	Friday	MjAwOTAzMDYwMDI5ODc=	4	3	1	3	2
2009-08-14	Friday	MjAwOTAzMDYwMDI5ODc=	2	3	2	1	0
2009-08-21	Friday	MjAwOTAzMDYwMDI5ODc=	0	3	2	0	3
2009-08-28	Friday	MjAwOTAzMDYwMDI5ODc=	1	1	0	2	4
2009-09-04	Friday	MjAwOTAzMDYwMDI5ODc=	4	1	3	1	2
2009-09-11	Friday	MjAwOTAzMDYwMDI5ODc=	2	3	0	2	4
2009-09-18	Friday	MjAwOTAzMDYwMDI5ODc=	0	0	2	2	1
2009-09-25	Friday	MjAwOTAzMDYwMDI5ODc=	3	1	2	3	2
2009-10-02	Friday	MjAwOTAzMDYwMDI5ODc=	3	3	1	1	0
2009-10-09	Friday	MjAwOTAzMDYwMDI5ODc=	2	0	0	1	1
2009-10-16	Friday	MjAwOTAzMDYwMDI5ODc=	1	0	4	0	0
2009-10-23	Friday	MjAwOTAzMDYwMDI5ODc=	5	1	1	3	1
2009-10-30	Friday	MjAwOTAzMDYwMDI5ODc=	4	1	4	3	3
2009-11-06	Friday	MjAwOTAzMDYwMDI5ODc=	1	1	2	0	1
2009-11-13	Friday	MjAwOTAzMDYwMDI5ODc=	1	1	1	0	2
